运维审计系统账号,工作目录路径
qifengyuan,/database/work/qifengyuan; /database_new/work/qifengyuan
chenhongling,/database/work/chenhongling
caojinman,/database_new/work/caojinman
chenshuiqing,/database/work/chenshuiqing
chensiyu,/database/work/chensiyu
cuixuedan,/database/work/cuixuedan
chenxunqi,/database/work/chenxunqi
fengmengxi,/database/work/fengmengxi
guoyunshuo,/database_new/work/guoyunshuo
huangxueyang,/database/work/huangxueyang
huyishu,/database/work/huyishu
juhui,/database/work/juhui
liujingying,/database/work/liujingying
liran,/database/work/liran; /database/users/ranli
lixiaoyi,/database/work/lixiaoyi
liuyuqian,/database/work/liuyuqian
liaoyiwen,/database/work/liaoyiwen
liuzhelun,/database/users/zlliu
mirezhatijiang,/database/work/mirezhatijiang
sundongli,/database/users/dlsun
songyaqiong,/database/users/yqsong
tanxiao,/database/work/tanxiao
wuhaowei,/database/users/hwwu
wangsiyuan,/database_new/work/wangsiyuan
wuxingjie,/database/work/wuxingjie; /midea/wuxingjie
wangyifei,/database/users/yfwang
wuyingna,/database/work/wuyingna
wangzewen,/database/work/wangzewen; /database_new/work/wangzewen
xuchonglin,/database_new/work/xuchonglin
xionghaihong,/database/work/xionghaihong
xuqi,/database/work/xuqi
xueshudan,/database/users/sdxue
yaobaomin,/database/work/yaobaomin
yinyue,/database/users/yyin
yuyansong,/database/users/yuyansong
yanziran,/database/work/zryan; /database_new/work/zryan
zhengyuling,/database/users/ylzheng; /database_new/work/zhengyuling
zhangyuqi,/database/work/zhangyuqi
zhaozhe,/database/work/zhaozhe
zhouzhizi,/database/users/zzzhou; /database_new/work/lisirui
fuchenxi,/database/users/cxfu
guoqunfei,/database/work/guoqunfei
